urlDrugName,highly_effective,benefitsReview
avapro,Effective,after being given this treatment there was no coughing no vomitinig like i had experienced with some other bp medication
emsam,Effective,I had become so severly depressed that I was incapable of holding a job.  My doctor had tried virtually all classifications of meds on the market but none were able to pull me out of the state I was in.  My world had become so dark I felt the sun would never shine again.  This med allowed me to function again within my family and within the working world.  I stopped crying all the time and was able to concentrate and perform the tasks necessary for employment.  I got my life back.
keflex,Effective,Prevention of post surgical infection and peace of mind following my minor outpatient surgery.
nasonex,Effective,"Nasonex helped me brath at night and stopped congestion, sneezing and running nose.
It helped me also with my cat allergy, so now I have 3.
For years before nasonex I used dexarhinasray very often (5-6 times per week) but now I use it 10 times per year! in order to stop sneezing and running nose."
inderal,Not Effective,None
valium,Effective,"i had a severe fall and tore the psoas muscle and damaged the SI joint. Before i was in great physical shape. After I could barely walk a block. After PT which only mildly helped I asked for various meds. Vicodin helped some but left me hung over. Valium released the muscle seizures and allowed me slowly to   return to exercise. It's not used much now that there's Flexeril, but F. can lead to depression and doesn't as effectively release muscle tension (in my case)."
cipro,Effective,"It cleared the skin infection,effectively and quite fast, was convenient to take, and easy to remember."
efudex,Effective,It removes boyh visible a nd unseen sun damage from the skin
celexa,Not Effective,"For the depression it didn't make much of a difference; but it worked wonders for my anxiety. The edginess, nervousness, impatience, fear of socializing and going out of the house, completely disappeared after one month of taking it. My close friends even commented that 'I was my old self again'. I was much more relaxed and happy. It made me realize that I was misdiagnosed as depressed, when what I really have is anxiety. After talking to my new psiquiatrist, we came to that conclusion."
sulfasalazine,Not Effective,None (see next entry).
restasis,Not Effective,"The drug is supposed to help decrease tear production. My eyes are still dry and get irritated easily. However, they are better than before I started the drug. On the ocassions when I have stopped using it for 2-3 weeks, my symptoms worsen, so it does appear to be helping."
chantix,Effective,",being able to smoke while drug builds up in your system, I also really enjoyed the colorful and vivid dreams but some people are known to have terrible nigjhtmares.   Also you really do completely  Lose the urge to smoke!"
synthroid,Not Effective,"None-Well, my TSH is only .02, but my thyroglobulin levels are elevated as well as antibodies. So...MAYBE this helped keep the cancer down (over the years I've had multiple I-131 treatments, 33 IMRT or external beam radation treatments, and multiple surgeries to the neck region. The drug does NOT seem to help with the symptoms that were evidence since realizing I had thyroid cancer."
tazorac,Not Effective,After skin finally healed - treatment areas were improved.
nizoral-shampoo,Effective,Skin irritation and dandruff were eliminated after third use.
retin-a,Not Effective,My skin looked a little better but no significant improvement in wrinkles.  I  called the company and they said I should try it every second night.  I did that for a few months and did not get any result.  No peeling and flacking and still no significant difference in my wrinkles
synthroid,Effective,"The treatment benefits were the initial complaint of monthly cycle depression and nervousness went from occurring for a ten to fourteen day period down to a two day  
time frame.  Monthly menstruation also occurred in a more timely fashion - every 28 days."
fentanyl,Not Effective,Pain reduction at a controlled rate over 72 hours
prinivil,Not Effective,it lowered my b/p
lamictal,Not Effective,The drug stabilized my rapid cycling.  It facilitated my reducing alcohol consumption to decrease my hypomanic symptoms.
xyrem,Not Effective,I sometimes wake up refreshed although with xyrem I only sleep for about 5 hrs every night
tylenol,Effective,"I believe that there are multiple treatment benefits of Taking Tylenol for my headache. Tylenol is safe, inexpensive, and does not require a physicians prescription. Additionally, it is available almost everywhere and therefor is convenient."
lantus,Effective,"I experienced markedly improved fasting blood glucose levels, and greater stability of blood sugar before and after meals.  I had found with other treatment options, such as the insulin pump and the nph insulins that my morning blood sugars were always high, even with increased dosages."
coreg,Effective,"Ejection Fraction increased from 27% to 55% over period of 8 years. No longer have chest pain, congestive heart failure, difficulty breathing, can do almost anything I want to."
metoprolol,Effective,I have very few racing heart episodes since I have been on this medication.
metrogel,Not Effective,"There was an inital reduction in symptoms however in the end the treatment was not effective. The condition was eventually cleared up with Vandazole gel, which did work."
zoloft,Effective,Zoloft allowed me to continue my daily activities in a stressful job without feeling depressed or anxious.  I was more motivated to get out of bed and was more outgoing and energetic on the job.
humira,Effective,"relieved pain, swelling, progression of damage to joints"
protonix,Effective,effective in helplng to control acid reflux
paxil-cr,Not Effective,Controls the anxiety and fear of being without breathing.
prempro,Effective,"On day two of taking prempro at 5pm, I felt the extreme crashing fatigue and weakness go away! I felt a calmness in my nerves and I no longer had hot flashes, my skin was actually cold to the touch. The underarm body odor that had occured out of nowhere, so bad I had to wear my husbands deoderant, that also went away immediatly. Energy level increased and the all over illness I felt went away.  Thank God!"
spironolactone,Effective,Eliminated cystic acne
claritin,Not Effective,"The medication did provide some lessening of allergy symptoms.  It helped my nose not to water as much.  However, I still had congestion and some days where my allergies were quite uncomfortable.  It seemed the effects lessened as time went on so the medication was less effective than at the beginning. Also my eyes still itched.  My throat also itched."
doryx,Not Effective,"mild facial improvement, healing was faster. Problem persisted. Problem increased upon ceasing of the medication."
norvasc,Effective,lower top/bottom reading numbers. I really don't understand the readings but initially they were like 140/90. now they read 120/70.
humira,Effective,amazing within 48 hrs virtually no pain
coumadin,Not Effective,prevent further clots and to dissolve pulmonary embolism
metformin-extended-release,Effective,The drug significantly lower my blood glucose level. Currently my blood glucose runs an average of 115 with some days below 90.
methadone,Effective,"I no longer have to rely on drug dealers to make it through the day. I went back to school, and I feel great about myself. I've also encouraged many friends, and even other family members to give it a try!"
betamethasone,Effective,Immediate relief and full recovery within 1 week.
effexor-xr,Effective,Decreasse in general anxiety symptoms and most symptoms of depression.
zomig,Not Effective,The medicine did not work on her head  ache--she had it all day long.
desyrel,Effective,I did sleep reliably and without waking up in the middle of the night
amoxil,Effective,"It cleared up the ear infection, but still didnt feel well from the cold my head was still conjusted and runny nose, but as far as the pain in the ear that
went away after taking the amoxicillin after a day.  I am continuing to take it to make sure the infection goes away."
fluvoxamine,Effective,"Stopped suicidal thoughts, stopped my constant worrying , my mind felt at peace for the first time in my life"
aricept,Not Effective,There seemed to be some mild improvement in alertness once he went onto the stronger (10 mg) version of the pill. There was no noticeable improvement in mood which was a disappointment.
lorazepam,Not Effective,I found that the benefits of this drug were marginal at best. My heart rate decreased and I felt slightly less anxious but I still had a feeling of unease especially during social situations. Social situations felt only barely tolerable.  Though symptoms were minimized slightly it wasn't worth the side effects.
tramadol,Not Effective,"I had no benefits from this medication, if anything it added more problems for me. It never once relieved my pain in my ankle. Darvacet helped my ankle more then this medication. Even though I was switching because Darvacet was losing its effectiveness it would have been tons better to stay on Darvacet for all the bad Tramadol did for me."
dysport,Not Effective,"There was a slight softening of the verticle wrinkles between my eyebrows, or ""11"" lines, but not the degree of change I was looking for, or had been suggested was possible by my physician, even after the second treatment."
norvasc,Not Effective,Lowered blood pressure too much.
augmentin,Effective,When I started taking the Augmentin I was ill about 3 weeks. After the treatment infection is gone. Augmentin worked after other antibiotics did not.
imitrex,Not Effective,none
retin-a,Effective,Eliminated Acne with in weeks of first using. I continued to use as my skin texture had improved. Any time there was a pimple or acne outbreak I would apply to pimple more than once during the day and the pimple would leave. I also used on any cold sores and it elimated them in 2 days.
prevacid,Effective,"After approximately two weeks of first using Prevacid, I noticed significant improvement in my symptoms.  Within 2 months, the symptoms had completely been resolved."
ambien,Effective,Helped to get a good nights sleep with no worry.  Felt refreshed if slept a full 8 hrs.
avita,Not Effective,The treatment benefits was better looking healthier skin
zoloft,Effective,"I would have wondering thoughts, like way to often, just thinking about the best ways to improve my lot in life, until it started to consume me to much. So I sought help, the main problem was sleeping, my thoughts would race so hard, that I could not sleep, this drug put my thoughts in check, allowing me to sleep soundly."
augmentin,Effective,"my throat was better.  My headache started to pass away quite fast. At the end of the third day, with the help of the other medication I took during the treatment, I was healthy and could go to work."
acyclovir,Effective,"A very bad and large cold sore started to slowly go away immediately when started.  I started it because my cold sore wasn't going away and getting way worse.  So I was prescribed 200mg 4x a day, for 10 days.  Which it immediately kept the cold sore from getting worse. I was give another same perscription and kept taking it, then my doctor wouldn't give me any more, even though it was showing improvement.  So, I found that I could order it online, and it directed me to take 1600 mg during outbreaks, so I did.  And it started healing, and now after almost a month it's almost gone.  This cold sore didn't break the surface, but was getting larger so this medication was a life saver."
cipro,Effective,I had a kidney infection with a very high fever.  Cipro reduced the fever from 104.2 to 97.6 within 5 or 6 day/cured the kidney infection..
neurontin,Not Effective,Non that were apparent.
vyvanse,Effective,"Although I had mild sleep problems the first two days of taking Vyvanse, I had virtually no side effects. Granted, my dose was low, but I had a hard time concentrating and summoning up the energy to do basic things like paying bills, etc. Vyvanse is no wonder drug, but I live pretty much like everyone else now, which is great. My mother is stunned. She says this is the first time she's ever been able to ask me where things are in my apartment and have me know (and be right). I take a medication holiday from Vyvanse most weekends and actual work holidays when I don't need to be able to concentrate."
nuvigil,Effective,"Extremely effective for staying awake.  No jitters, just plain awake.  Puts you in a great mood too, but definitely not high."
diflucan,Effective,"O TOOK THIS TO HELP TO RELIEVE AND CURE MY YEAST INFECTION.  I HAD TRIED SEVERAL OTHER CREAMS, ONE WAS OVER THE COUNTER THE OTHER WAS PRESCRIBED BY MY DOCTOR.  THIS ORAL MEDICATION WAS THE ONLY ONE THAT WORKED."
zoloft,Effective,"becoming a normal functioning individual. it helped with the worry or feelings of anxiety. when diriving not being overwhelmed and felling confident. able to go in stores and be around people. not feeling tired or other types of side effects associated with anxiety drugs. not addictive, unlike other drugs. eventually i was able to stop taking the drug for a full recovery"
nuvaring,Not Effective,My bleading slowed.
mobic,Not Effective,Hard to judge whether or not it was actually reducing the inflammation.  I was taking it while undergoing physical therapy which seemed at times to exacerbate the pain from the whiplash.
methotrexate,Effective,"My severe pain and joint swelling diminished soon, and I have had few painful moments (and nothing like the pain I had before my diagnosis)."
elavil,Not Effective,BETTER SLEEP- WELL RESTED
lithium-carbonate,Effective,"Highs and lows of emotions were evened out.  Able to get through difficult crises without ""falling apart""."
seasonique,Effective,I had been on Quasense (a generic for a different type of extended BC) and liked it a lot but I noticed when I would go off the pill (for period) I would get extreme migraines when my hormones fluctuated.  Switched to Seasonique since there are hormones in the last week of pills which my doctor thought might reduce headaches.  Nope.  After the first three months I had my period and had the same terrible migraines.  I gave it three more months but had the same results.  The good news?  Not pregnant.
lortab,Effective,"As having surgery, my mounth experienced excruiating pain. I was without them for 3 hours. These seemed like the worst day of my life. After taking the pills I noticed one of two things occured. One, the pain was gone soon after taking them. Two, I became extremely tired. First I thought that it was only like this because I just had surgery, but no. It seemed as though everytime I taken a pill I needed a nap soon after. Don't get me wrong, I would rather have a nap and be painless then to be awake throughout the entire day and experience that pain. This stayed this way for the entire time that I was on Lortab."
lipitor,Not Effective,lowered cholesterol
prevacid,Not Effective,She did not seem to have much benefit from it.  She still had considerable gas & acid reflux.
remicade,Not Effective,Helped my abdominal pain and bowels. A little more energy after the first infussion but not much after the rest.  Helped with fistulas.
temovate,Not Effective,reduced symptoms after using the cream for a total of two months.
ambien,Effective,"Most nights I am able to fall asleep within about 20 minutes, sleep through the night, and wake feeling refreshed.  I do not feel any residual tiredness or sluggishness during the day."
levaquin,Not Effective,None
clindamycin,Not Effective,"I really don't know if there are any, since I'm taking it prophylactically."
voltaren,Not Effective,Hardly any- it was much less effective than paracetamol against the pain. I still had to take the maximum dose of ibuprofen to reduce the pain. I hoped taking Voltaren as well would extend the analgesic effects of the ibuprofen but it was fairly ineffective.
byetta,Effective,This  slows the sugar going into my system so that my body can use most of my own insulin to process the sugar.  It is to be taken along with the metformin. It has helped control my blood sugar very well.
premarin,Effective,I have only been taking it 2 weeks but it so far eliminated my night sweats and hot flashes and in just 2 weeks I have noticed my skin looks and feels like I am 20 again my slight wrinkles on my face vanished almost overnight I look and feel younger. I am so impressed with my complexion.
proscar,Not Effective,"in taking finasteride 2.5mg per day for six months i noticed an increase in hair growth of new hairs and existing ones. most of the increased hair growth was in the crown region of the head. There was an increase  of hair growth of the front hair line, but it was not substantial. My hair also grew at a faster rate than normal."
ortho-tri-cyclen,Effective,"no pregnancy, reduced ance"
acyclovir,Effective,drug was prescribed for off label use to treat recurrent infections by physician whose protocol addresses high viral load in limbic system (chicken pox) and GI tract (MMR vaccine remnants).  It seemed to work - could be that other environmental variables were removed simultaneously but I can't think of variables that were exactly concurrent with taking of this drug.  It stopped 6 week recurrent symptoms of cold/flu-like exhaustion.
zomig,Effective,"Before when I had a migraine headache I used to be in agony for at least 48 hours. I would have to go to bed because the pain was so bad. I could hardly see and my stomach would be so upset that I would be sick to my stomach. Nothing that I tried ever worked. With the zomig, usually within 1-2 hours and sometimes less I would have tota relief of my migraine headache."
wellbutrin,Not Effective,"More energy, better mood, increase sexual desire (which was very low)."
zithromax,Effective,Ear pain decreased on the third day.  Ear pain was gone by the day 5. Both infections went away on the 6th day.  This drug worked as expected and the results were remarkable.
desyrel,Effective,"I can not shut my mind down to go to sleep.  I will lay there and think of thing after thing and cannot ""shut down."" I originally took ambien for insomia, but my insurance would not fully cover the prescription and it was too expensive to take nightly.  My doctor put me on trazadone as a safe, low cost alternative.  I take 1/3 to 1/2 of a trazadone each night. I vary the dosage, depending on how ""excitable"" I feel that day. It takes roughly 20 minutes to one half of an hour to take effect.  If I don't go directly to bed after taking it, if I stay up watching tv or reading, when I start to feel the effects I give in and go to bed immediately.  I have got into doing something and fought it off before and sometimes you can overcome it, but another time I accidently took it with my morning vitamines and was not able to go to work.  I had to go back to bed!  I love the drug and since I tend to be high strung anyway, I am sure that I am receiving multiple benefits from trazadone."
valium,Effective,"The immediate benefits were the relaxing, pain free life I am now experiencing. I am not sure how long it will last, but I will take the relief for now. I have suffered with terrible back pain for going on 8 years, and until I was prescribed valium and Norco combination, I was still in excruciating pain. The combo eases the muscle spasms and basically stops all pain in my lower back. When I awake, I am hurting, but within 20 minutes of taking meds, I am my old, 25 year old self again."
diovan,Effective,For over a period of several years my blood pressure has gone down and has stayed down. Follow up visits to the doctor have proven to be much better when blood pressure was checked. The doctor has recommended that I stay on this product and along with exercise should be highly effective.
tegretol,Effective,No seizures
ultracet,Not Effective,Analgesic post surgery without use of codeine (patient has allergy).
prozac,Effective,Perfect.  The Trazadone helps me sleep inspite of the Prozac.  I no longer have any manic phases thanks to Lamictal.
prinivil,Not Effective,Has brought BP down to 128/85
retin-a,Not Effective,"The benefits were smoother, more evenly-colored skin. I have no deep wrinkles. I developed no blemishes and I tended to stay out of the sun since it makes skin photo-sensitive. I am mistaken for being younger than my age, however, whether it's heredity or product, I'll never know for sure."
minocin,Effective,"I have been struggling with adult acne. A dermatologist prescribes the Minocycline and for the first two months, it worked great. I had perfectly clear skin AND I noticed that my hair STOPPED falling out at it's normal rate. All the women in my family start losing their hair starting in their thirties and by the time they are 60, wigs are definitely in order. Also, I normally get tonsil stones. These also ceased."
zomig,Effective,"getting rid of a migraine after years of suffering. Have lost count of the ruined parties, weddings, holiday days etc before a friend recommended this tablet to me. To me it is simply a magic pill."
zyrtec,Effective,Controlled allegies very well
vyvanse,Effective,"Very concentrated , very alert , Euphoria , more done in less time , sociable , energetic ."
effexor-xr,Effective,"Effexor was very effective at alleviating my symptoms of depression.  My mood improved dramatically, I felt happy and engaged in life again.  It also worked fairly quickly.  I began feeling the effects within the first week."
vicodin,Not Effective,None - No pain relief
prinivil,Effective,No fluctuation anymore. Normal bloodpressure ever since
tri-luma,Not Effective,lightening of acne scars
retin-a,Not Effective,"The benefits were a very gradual reduction in the appearance of sun spots on the skin. The spots themselves never disappeared but lightened over a period of time. The general appearance of the skin also improved slightly but it did not prevent new spots from appearing as I noticed that they did, although I suspect that the cream probably kept them lighter than they would have been. Discontinuation did make the darkness come back into the sun spots after about 4 to 6 months however."
ativan,Effective,"ALL my anxiety, stress, were gone. I also have Tourette's Syndrome, which is a neurological disorder which causes me to have involentary movements and sounds that I have no controll over, (tics.) And once I started taking this medicine, the tics were such at the minimum, i used to have 50-100 tics a day, now i have 3-4 tics all because of Lorazepam. This might be a very good treatment for others with Tourette's Syndrome!!"
protonix,Effective,effective in helplng to control acid reflux
lamisil,Effective,I just finished my 90 day course and am seeing great benefits.  My toenails are finally growing out thin and clear.  I didn't start to see any major changes in my toenails until around the two month mark.  I told myself I would be one of the people who comes back to review the product because the positive reviews I read are what got me through those first few weeks when all of the negative side effects were flashing through my head.  It has definitely been worth it to take the pills.  I can't wait for a few more months to go by where my toenails will be completely  be grown out and I will feel confident about going and getting the first pedicure of my life.  Also very much looking forward to sandal season next year.
inderal,Effective,"I've used 40mg Inderal for situational anxiety a few times per month over the past 6 years. I found it to be very effective when taken 30min to 1hr prior to public speaking, large social gatherings, dates, and other anxiety provoking situations. It really helps decrease signs of nervousness resulting from the fight-or-flight response, such as increased heart rate, sweaty palms, and dry mouth."
amoxil,Effective,"treatment benefits of using amoxicillin for the infection proved to be substantial. My infection diminished progressively over the course of a week taking the prescribed dosage each day, I also noticed that the infection never reoccurred and has not since. Overall taking amoxil was not nearly unpleasant as I thought it would have been and it did the job I was told it would do"
tirosint,Effective,"I had experienced decreased energy and increasing tiredness for several years.  It got to the point I was taking naps for the first time since I was a small child, and still didn't feel refreshed.  I also felt cold frequently and had put on a good 20 pounds in a year.  When I went for my annual physical, my blood work came back with high cholesterol for the first time.  I thought it was advancing middle age.  Fortunately, my MD put it all together and ordered a thyroid test.  I was very low.  Within two weeks, I felt energized and my mood improved.  I have shed some (not all, darn it) of the weight and my cholesterol score is lower."
dispermox,Not Effective,"The benefits of amoxicillin were that it did help clear the infection, it seemed to help my acne, also.  I noticed it working within about four days.  I only had to take it for a week.  It did not taste bad.  It did not make me foggy headed."
imitrex,Effective,my migraines would always leave after taking imitrex or sumatriptan and then if taken at night i could go back to sleep and sleep through the night and wake feeling just fine.
effexor,Not Effective,This drug did have benefits in that it stabilized my mood somewhat. I still suffer from severe bouts of depression- mostly caused by the side effects of the drug.
valium,Not Effective,The valium was prescribed for the patient in an attempt to relieve anxiety prior to a minor surgery being performed.
deltasone,Effective,"Remission of Crohn's Disease.  Remission included normal bowel movenments from about 15/day to 1 or 2 per day. Cramps associated with diarrhea have disappeared. Increased energy, feeling active and generally feeling better.  Endoscopy was done at one point after the treatment and there was indication of only very mild disease so basically remission was achieved according to my gastroenterologist."
periogard,Not Effective,None apparent during treatment.
clindamycin,Not Effective,Not much at all for what I had going on
maxalt,Effective,"This is the best migraine medication on the market. Imitrex no longer works for me. I cannot be without maxalt or I will be in the ER. When I took Imitrex, I would have to repeat the dosage every 8-10 hours for 3 days. But, with Maxalt, I take one dose and it lasts for the whole migraine and I never have to take another dose until the next migraine."
spironolactone,Not Effective,"The medications has slowed down hair shedding but not prevented hair loss. Hair loss is still ongoing, miniturization of hair follicles is still ongoing."
lamictal,Not Effective,"I took lamectal to replace Lithium hoping it will help stabilize my mood.  But after two years of taking it, it did not seem working."
crestor,Effective,my cholesterol is well controlled now.blood test show my cholesterol is under control now. down from 6.5 to 3.6
singulair,Effective,My son attends a preschool with many mulberry trees on the grounds.  These trees drop large amounts of pollen right on the children during parts of the year.  He would begin to itch all over and develop red splotches on his face.  The pediatrician prescribed Singular each night and it has alleviated all his symptoms.
paxil,Not Effective,"Some relief from social anxiety. Really, no other benefits were found."
doryx,Effective,"My acne was significantly reduced. My doctor added the oral medicince because using topical acne medications did not slow the acne pimples. My face only improved while using birth control pills, Doryx, and the topical acne medications."
paxil,Not Effective,None.
alesse,Effective,"Pregnancy prevention, regulation of menstrual cycle."
renova,Not Effective,"The treatment benefits for Renova are more skin clarity.  Also, i believe the freckles on ;my face are fading quite a bit.  The fine lines did not really get any better. My skin is not really that different to notice real changes"
klonopin,Effective,"The drug worked exactly as prescribed; my anxiety was reduced. Heart palpitations were lessened in frequency and running thoughts were ceased. I was able to fall asleep more quickly because I wasn't as consumed by worries. In fact, I found myself able to do things that before I wasn't able of doing, like having conversations with irritating family members."
tenormin,Effective,"The benefits were immediate relief from a ""racing heart"" or tachycardia caused by anxiety. I use this medicine prophylactically and found that it is very effective in controlling my heart rate and keeping it within a normal range. The only time it does not work is if I have a full-blown panic attack. At that point, other types of medications are used in addition to the atenolol."
synthroid,Effective,Treatment benefits involved bringing the thyroid function tests into the normal range to counteract the hypothyroid condition that someetimes occurs in post-menopausal women.
wellbutrin-xl,Not Effective,Started to fell seasonal depression clear with about a week.
zocor,Not Effective,to lower cholesterol
zmax,Not Effective,The sinus infection lessened but did not go away.  I noticed that using a neti pot for a nasal flush worked much better.
lipitor,Effective,"Lipitor did lower my total cholesterol count, triglycerides, and bad cholesterol as well as raising my good cholesterol.  I was happy with the results."
citalopram,Effective,Through taking this medication i basically have a stress free life. Being bi polar is crazy crazy stuff. I take 80mg of citalopram every night and wake up every morning able to function and care for my three children. Structure and routine is looking very possible. I now only have a flat day once every few weeks.
oracea,Not Effective,"The treatment cleared up papules and pustules (not completely, but significantly) and decreased redness in the face."
yasmin,Effective,There was no chance of pregancy because i lost 100 percent of my libido. My skin cleared up for the most part.
omnicef,Not Effective,"This drug was prescribed because my daughter has had adverse side effects from penicillin based antibiotics (trunk rash/hives from amoxicillin for an ear infection). She had a sinus infection that we couldn't get rid of with natural remedies (salt water flush, tea, elevated sleeping) so we went the antibiotic route."
ativan,Effective,they were like a magic tablet
xanax,Effective,the treatment drastically reduced my anxiety and feelings of stress and panic during my PMS week.
estring,Not Effective,"Eased vaginal dryness for more comfortable intercourse.  Probably has a beneficial effect on my heart condition, since there is heart related problems in my family of origin."
aldactone,Effective,NO LONGER ANY KNEE SWELLING.....TOTAL KNEE MOBILITY... NO PAIN...
climara-pro,Not Effective,There was a small reduction in my hot flashes but the side effect was bothering me too much to stay on the patch longer to see if it would have totally eliminated them over time.
zomig,Effective,"I have terrible headaches that nothing ever helped, until zomig.  it has been a miracle drug for me."
tazorac,Not Effective,"my skin appeared smoother after an initial rough period with the start up of the product...fine lines seem to diminish and overall my skin seemed less sallow and more even toned....although, because of the continuing side effects it's difficult to stick with a consistent application"
adipex-p,Not Effective,"Well, I did not have an appetite all day.  But then at night, I was very hungry.  I only lost about 2 pounds in the week I took it."
chantix,Effective,Definately helps control the urge to smoke.  Was able to make it through the first week of no smoking with VERY CONTROLABLE urges.
adipex-p,Effective,lost weight very fast then mantained it for 4 years.
clonazepam,Effective,"It reduced the tingling sensation, and numbness feeling in the effected part,it also acted on reducing stress levels. I found it as a last resort because for 3 years before that my life was very painful cause of the nerve damage, that I suffered during a Mucocele removal. I took the anti anxiety drug for 2 years and its side effect that it blocks nerve communication helped a lot, and thx god after 5 years i am cured, my nerve healed."
zovirax,Effective,I have had Herpes Zoster or VZV all my life. Acyclovir completely eliminates the headache and flu like symptoms. If I take it early enough it stops all outbreaks in one or two days. If taken late; I need a higher dose and it can eliminate blisters in 2 or three days. My outbreaks were once or twice a year and I only used acyclovir cream. Now it appears less than once a year and can be stopped with Zovirax(Acyclovir).
valtrex,Not Effective,Shortened duration of herpes outbreak.
cymbalta,Not Effective,Slight anxiety reduction but minimal.
prednisone,Not Effective,"Facial swelling reduced dramatically over 3 days, only to return (less so) as a side effect.  I could have just taken Benadryl, and although it would have taken longer to recover from the allergic reaction (possibly another week), I would have been normal without side effects, and without withdrawal effects.  The drug took a modest problem and created a far worse one.  I told the physician I reacted strongly to drugs.  Since then I've learned that some physicians are quite blas? about the side effects of prednisone -- apparently that old adage about ""first do no wrong"" is no longer important."
provigil,Effective,"I am able to stay awake while driving.  I am able to focus on tasks and concentrate better.  My concentration is clearer.  It's not habit-forming because I could live without it.  It's just that I can not function without it.  I can't drive, or stay awake for any reasonable length of time during the day.  My narcolepsy and sleep apnea are so bad that I do not dream at night at all.  With the provigil, along with my other medications, I am able to balance day and night and not feel like I'm fighting to keep my eyelids open.  Also, I don't need any caffeine or other stay awake medications that are harmful and habit-forming."
fiorinal,Effective,"relieved headache 99% of time, headaches did not recur for at least 18 hours"
paxil,Effective,no more anxiety
adderall,Effective,"This treatment was easy and highly effective. Adderall increased my overall energy levels, making it easier to get going in the morning and stay awake during classes. It increased my ability to pay attention even when the material was not particularly interesting to me. The most important benefit for me was the increased ability to control my impulses."
propecia,Effective,"It greatly reduced the loss of hair in shower/on pillow in the morning.  There has been no sign of balding on top of head, and no progression on the temples."
metrogel,Not Effective,I saw absolute no change in my rosacea so can claim no benefits.
divigel,Effective,The treatment completely eliminated all annoying menopausal symptoms such as hot flashes and anxiety.  I no longer wake up at night with these symptoms and can sleep soundly through the night once again.
selegiline,Not Effective,"There were no noticable changes with selegiline, it was prescribed to help focus and attention for TBI."
effexor,Effective,"The numbness in my arms and hands significantly reduced. I was having uncontrollable emotions of sadness, crying and even thoughts of suicide.  Taking the effexor helped me not only control my emotions but also diminished the intensity as well."
amoxil,Not Effective,The amoxicillin got rid of my tooth infection very quick
aldactone,Not Effective,Not much improvement in hormonal acne.
duragesic,Effective,"Extremely effective in reducing long-term, chronic pain (muskoskeltal and nerve), especially as a long-acting, baseline pain reducer in combination with a break-thru medication (I used Hydrocodone APAP and/or Percocet) for spikes in pain levels (due to falls, joint dislocations, broken bones, etc that cause temporary or short-term increases in pain.)"
paxil,Effective,"The main benefit is the ability of the drug to reduce, even eliminate the panic attacks. The general mood is positively improved."
synthroid,Not Effective,"Treatment benefits included a correction of my T3, but only a mild improvement in my emotional status. I am still irritable and mildly depressed."
effexor,Effective,The benefits of taking Effexor are wonderful. My mood has been so much better. I can function properly without feeling overwhelmed and or stressed out. I have recommended this drug to many of my friends who have had similar problems.
cymbalta,Not Effective,none
adderall,Not Effective,Adderall helps to clear my mind. It helps me finish work that I have already begun. It also reduces anxiety in social situations.
imitrex,Not Effective,The drug did absolutely nothing for the pain or to lessen the time of the migraine.  The migraines were usually sseveral days long.
retin-a,Not Effective,"The benefits were a very gradual reduction in the appearance of sun spots on the skin. The spots themselves never disappeared but lightened over a period of time. The general appearance of the skin also improved slightly but it did not prevent new spots from appearing as I noticed that they did, although I suspect that the cream probably kept them lighter than they would have been. Discontinuation did make the darkness come back into the sun spots after about 4 to 6 months however."
singulair,Not Effective,"less astma attacks 
do more excerie without getting tired to quick
focus more"
yasmin,Effective,"Didn't get pregnant
Clear skin
Light periods"
oxycontin,Effective,"Truly allows me to function.  I work in a mentally demanding and stressful job.  Without this medication, I would not be able to work, let alone do much of anything else."
tofranil-pm,Effective,After 2-3 weeks complete abatement of panic attack symptoms.  After one year tried to stop taking them but within 3 weeks symptoms were back.  continued for two more years and stopped taking them.  Have not had any symptoms for @10 years now
claripel-cream,Effective,"Lightening of dark spots that I experienced on both of my cheeks from melasma. I noticed definite results within weeks; however, with only short periods of accidental sun exposure the dark spots would reappear. Make sure to use sunscreen and hats or avoid sun exposure completely to enjoy continued results."
strattera,Not Effective,The 1st week  felt great.  All the racing thoughts were gone.  Mind was kinda empty and quiet.  I could concentrate.  I was able to think of a task that needed done and complete it.  Then move on to the next task.  Was only able to work on 1 thing at a time instead of going from one thing to the next without finishing anything. Could listen to the person talking to me without starting to day dream and lose the conversation. Was very happy with it.
vesicare,Effective,Bladder spasms and urge incontinence were banished immediately. Urinary frequency continued but is becoming less as I am able to retrain my bladder to hold more urine. I was particularly pleased not to suffer from constipation or dry mouth which are listed as common side effects.
diazepam,Effective,"go to http://medsheaven.com/ and i sa diazepam online, and it works! friends reccomend it because of having a sleeping disorder, i try it once in a while, there is now side effects and it works all good helps me for my sleeping disorder no side effects"
ambien,Effective,allowed me to sleep soundly without feeling groggy in the morning.
adderall-xr,Effective,"In a very short period of time, there was a mental clarity that I had never experienced. I felt a calm and order to my life and work. I was truly able to focus on important things that I needed to do and did so efficiently, which was something I was never able to do. Menopause exacerbated the extreme mental fuzziness that I had already been experiencing with 4 children and a more than full time job. This drug has truly changed my life for the better!"
effexor-xr,Effective,The xanax helped slow things down and make everything less stressful. helped me to stay on a calm even level.
xanax,Effective,"within 10 minutes the drug began to calm down the situation and I was able to function normally again. My racing heart rate was decreased, the feeling of panic subsided and the numbness in my arms and legs went away. I was able to eat again, and go about my daily routine."
cipro,Effective,I had a bad uti with awful pain on myside i couldnt walk..I was prescribed this and have never taken it so I was a little nervous.
